S,Feedback,Sentiment,punctuation_removed,nltk_token,StopWords_Removed
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,Positive,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case,"['its', 'a', 'little', 'geeky', 'but', 'i', 'think', 'thats', 'its', 'sex', 'on', 'toast', 'and', 'it', 'rocks', 'and', 'oozes', 'sex', 'right', 'down', 'to', 'its', 'battery', 'embedded', 'sleek', 'stylish', 'leather', 'case']","['little', 'geeky', 'think', 'thats', 'sex', 'toast', 'rocks', 'oozes', 'sex', 'right', 'battery', 'embedded', 'sleek', 'stylish', 'leather', 'case']"
113,"Great product, fast shipping!.",Positive,Great product fast shipping,"['great', 'product', 'fast', 'shipping']","['great', 'product', 'fast', 'shipping']"
114,Absolutely great.,Positive,Absolutely great,"['absolutely', 'great']","['absolutely', 'great']"
115,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,Positive,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad,"['the', 'keyboard', 'is', 'a', 'nice', 'compromise', 'between', 'a', 'full', 'qwerty', 'and', 'the', 'basic', 'cell', 'phone', 'number', 'keypad']","['keyboard', 'nice', 'compromise', 'full', 'qwerty', 'basic', 'cell', 'phone', 'number', 'keypad']"
116,i got this phone around the end of may and i'm completely unhappy with it.,Negative,i got this phone around the end of may and im completely unhappy with it,"['i', 'got', 'this', 'phone', 'around', 'the', 'end', 'of', 'may', 'and', 'im', 'completely', 'unhappy', 'with', 'it']","['got', 'phone', 'around', 'end', 'may', 'im', 'completely', 'unhappy']"
117,It is very comfortable on the ear.,Positive,It is very comfortable on the ear,"['it', 'is', 'very', 'comfortable', 'on', 'the', 'ear']","['comfortable', 'ear']"
118,It has been a winner for us.,Positive,It has been a winner for us,"['it', 'has', 'been', 'a', 'winner', 'for', 'us']","['winner', 'us']"
119,)Setup couldn't have been simpler.,Positive,Setup couldnt have been simpler,"['setup', 'couldnt', 'have', 'been', 'simpler']","['setup', 'couldnt', 'simpler']"
120,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,Positive,Ive tried several different earpieces for my cell phone and this Jabra one is the first one Ive found that fits my ear comfortably,"['ive', 'tried', 'several', 'different', 'earpieces', 'for', 'my', 'cell', 'phone', 'and', 'this', 'jabra', 'one', 'is', 'the', 'first', 'one', 'ive', 'found', 'that', 'fits', 'my', 'ear', 'comfortably']","['ive', 'tried', 'several', 'different', 'earpieces', 'cell', 'phone', 'jabra', 'one', 'first', 'one', 'ive', 'found', 'fits', 'ear', 'comfortably']"
121,Could not get strong enough signal.,Negative,Could not get strong enough signal,"['could', 'not', 'get', 'strong', 'enough', 'signal']","['could', 'get', 'strong', 'enough', 'signal']"
122,Iam very pleased with my purchase.,Positive,Iam very pleased with my purchase,"['iam', 'very', 'pleased', 'with', 'my', 'purchase']","['iam', 'pleased', 'purchase']"
123,Bad Quality.,Negative,Bad Quality,"['bad', 'quality']","['bad', 'quality']"
124,Gets the job done.,Positive,Gets the job done,"['gets', 'the', 'job', 'done']","['gets', 'job', 'done']"
125,Great audio!.,Positive,Great audio,"['great', 'audio']","['great', 'audio']"
126,Basically the service was very bad.,Negative,Basically the service was very bad,"['basically', 'the', 'service', 'was', 'very', 'bad']","['basically', 'service', 'bad']"
127,it did not work in my cell phone plug i am very up set with the charger!.,Negative,it did not work in my cell phone plug i am very up set with the charger,"['it', 'did', 'not', 'work', 'in', 'my', 'cell', 'phone', 'plug', 'i', 'am', 'very', 'up', 'set', 'with', 'the', 'charger']","['work', 'cell', 'phone', 'plug', 'set', 'charger']"
128,"I've only had my bluetooth for a few weeks, but I really like it.",Positive,Ive only had my bluetooth for a few weeks but I really like it,"['ive', 'only', 'had', 'my', 'bluetooth', 'for', 'a', 'few', 'weeks', 'but', 'i', 'really', 'like', 'it']","['ive', 'bluetooth', 'weeks', 'really', 'like']"
129,The BT headset was such a disapoinment.,Negative,The BT headset was such a disapoinment,"['the', 'bt', 'headset', 'was', 'such', 'a', 'disapoinment']","['bt', 'headset', 'disapoinment']"
130,It is so small and you don't even realize that it is there after a while of getting used to it.,Positive,It is so small and you dont even realize that it is there after a while of getting used to it,"['it', 'is', 'so', 'small', 'and', 'you', 'dont', 'even', 'realize', 'that', 'it', 'is', 'there', 'after', 'a', 'while', 'of', 'getting', 'used', 'to', 'it']","['small', 'dont', 'even', 'realize', 'getting', 'used']"
131,The accompanied software is almost brilliant.,Positive,The accompanied software is almost brilliant,"['the', 'accompanied', 'software', 'is', 'almost', 'brilliant']","['accompanied', 'software', 'almost', 'brilliant']"
132,Headset works great & was packaged nicely to avoid any damage.,Positive,Headset works great  was packaged nicely to avoid any damage,"['headset', 'works', 'great', 'was', 'packaged', 'nicely', 'to', 'avoid', 'any', 'damage']","['headset', 'works', 'great', 'packaged', 'nicely', 'avoid', 'damage']"
133,!I definitly recommend!!,Positive,I definitly recommend,"['i', 'definitly', 'recommend']","['definitly', 'recommend']"
134,Buyer--Be Very Careful!!!!!.,Negative,BuyerBe Very Careful,"['buyerbe', 'very', 'careful']","['buyerbe', 'careful']"
135,The majority of the Logitech earbud headsets failed.,Negative,The majority of the Logitech earbud headsets failed,"['the', 'majority', 'of', 'the', 'logitech', 'earbud', 'headsets', 'failed']","['majority', 'logitech', 'earbud', 'headsets', 'failed']"
136,Very good stuff for the price.,Positive,Very good stuff for the price,"['very', 'good', 'stuff', 'for', 'the', 'price']","['good', 'stuff', 'price']"
137,My headset works just peachy-keen.,Positive,My headset works just peachykeen,"['my', 'headset', 'works', 'just', 'peachykeen']","['headset', 'works', 'peachykeen']"
138,In my house I was getting dropped coverage upstairs and no coverage in my basement.,Negative,In my house I was getting dropped coverage upstairs and no coverage in my basement,"['in', 'my', 'house', 'i', 'was', 'getting', 'dropped', 'coverage', 'upstairs', 'and', 'no', 'coverage', 'in', 'my', 'basement']","['house', 'getting', 'dropped', 'coverage', 'upstairs', 'coverage', 'basement']"
139,Voice recognition is tremendous!,Positive,Voice recognition is tremendous,"['voice', 'recognition', 'is', 'tremendous']","['voice', 'recognition', 'tremendous']"
140,What a waste.,Negative,What a waste,"['what', 'a', 'waste']",['waste']
141,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",Negative,During several different 2 minute calls I experienced 5 drops and it was in an area that had 5 bars,"['during', 'several', 'different', '2', 'minute', 'calls', 'i', 'experienced', '5', 'drops', 'and', 'it', 'was', 'in', 'an', 'area', 'that', 'had', '5', 'bars']","['several', 'different', '2', 'minute', 'calls', 'experienced', '5', 'drops', 'area', '5', 'bars']"
142,I was not happy with this item.,Negative,I was not happy with this item,"['i', 'was', 'not', 'happy', 'with', 'this', 'item']","['happy', 'item']"
143,very disappointed.,Negative,very disappointed,"['very', 'disappointed']",['disappointed']
144,The phone takes FOREVER to charge like 2 to 5 hours literally.,Negative,The phone takes FOREVER to charge like 2 to 5 hours literally,"['the', 'phone', 'takes', 'forever', 'to', 'charge', 'like', '2', 'to', '5', 'hours', 'literally']","['phone', 'takes', 'forever', 'charge', 'like', '2', '5', 'hours', 'literally']"
145,I got this phone on reccomendation from a relative and I'm glad I did.,Positive,I got this phone on reccomendation from a relative and Im glad I did,"['i', 'got', 'this', 'phone', 'on', 'reccomendation', 'from', 'a', 'relative', 'and', 'im', 'glad', 'i', 'did']","['got', 'phone', 'reccomendation', 'relative', 'im', 'glad']"
146,What a waste of time!,Negative,What a waste of time,"['what', 'a', 'waste', 'of', 'time']","['waste', 'time']"
147,Its reception is very very poor.,Negative,Its reception is very very poor,"['its', 'reception', 'is', 'very', 'very', 'poor']","['reception', 'poor']"
148,Items stated as included from the description ARE NOT INCLUDED.,Negative,Items stated as included from the description ARE NOT INCLUDED,"['items', 'stated', 'as', 'included', 'from', 'the', 'description', 'are', 'not', 'included']","['items', 'stated', 'included', 'description', 'included']"
149,"After 3 months, screen just went black all of a sudden.",Negative,After 3 months screen just went black all of a sudden,"['after', '3', 'months', 'screen', 'just', 'went', 'black', 'all', 'of', 'a', 'sudden']","['3', 'months', 'screen', 'went', 'black', 'sudden']"
150,I Was Hoping for More.,Negative,I Was Hoping for More,"['i', 'was', 'hoping', 'for', 'more']",['hoping']
151,"Audio Quality is poor, very poor.",Negative,Audio Quality is poor very poor,"['audio', 'quality', 'is', 'poor', 'very', 'poor']","['audio', 'quality', 'poor', 'poor']"
152,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,Positive,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve,"['i', 'had', 'absolutely', 'no', 'problem', 'with', 'this', 'headset', 'linking', 'to', 'my', '8530', 'blackberry', 'curve']","['absolutely', 'problem', 'headset', 'linking', '8530', 'blackberry', 'curve']"
153,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",Positive,I know that sounds funny but to me it seemed like sketchy technology that wouldnt work wellWell this one works great,"['i', 'know', 'that', 'sounds', 'funny', 'but', 'to', 'me', 'it', 'seemed', 'like', 'sketchy', 'technology', 'that', 'wouldnt', 'work', 'wellwell', 'this', 'one', 'works', 'great']","['know', 'sounds', 'funny', 'seemed', 'like', 'sketchy', 'technology', 'wouldnt', 'work', 'wellwell', 'one', 'works', 'great']"
154,I've bought $5 wired headphones that sound better than these.,Negative,Ive bought 5 wired headphones that sound better than these,"['ive', 'bought', '5', 'wired', 'headphones', 'that', 'sound', 'better', 'than', 'these']","['ive', 'bought', '5', 'wired', 'headphones', 'sound', 'better']"
155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,Positive,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used,"['this', 'phone', 'is', 'very', 'fast', 'with', 'sending', 'any', 'kind', 'of', 'messages', 'and', 'web', 'browsing', 'is', 'significantly', 'faster', 'than', 'previous', 'phones', 'i', 'have', 'used']","['phone', 'fast', 'sending', 'kind', 'messages', 'web', 'browsing', 'significantly', 'faster', 'previous', 'phones', 'used']"
156,"Nice quality build, unlike some cheap s*** out there.",Positive,Nice quality build unlike some cheap s out there,"['nice', 'quality', 'build', 'unlike', 'some', 'cheap', 's', 'out', 'there']","['nice', 'quality', 'build', 'unlike', 'cheap']"
157,This item is fantastic and works perfectly!,Positive,This item is fantastic and works perfectly,"['this', 'item', 'is', 'fantastic', 'and', 'works', 'perfectly']","['item', 'fantastic', 'works', 'perfectly']"
158,And I just love the colors!,Positive,And I just love the colors,"['and', 'i', 'just', 'love', 'the', 'colors']","['love', 'colors']"
159,W810i is just SUPERB.,Positive,W810i is just SUPERB,"['w810i', 'is', 'just', 'superb']","['w810i', 'superb']"
160,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",Negative,All I can do is whine on the Internet so here it goesThe more I use the thing the less I like it,"['all', 'i', 'can', 'do', 'is', 'whine', 'on', 'the', 'internet', 'so', 'here', 'it', 'goesthe', 'more', 'i', 'use', 'the', 'thing', 'the', 'less', 'i', 'like', 'it']","['whine', 'internet', 'goesthe', 'use', 'thing', 'less', 'like']"
161,Great charger.,Positive,Great charger,"['great', 'charger']","['great', 'charger']"
162,This is essentially a communications tool that does not communicate.,Negative,This is essentially a communications tool that does not communicate,"['this', 'is', 'essentially', 'a', 'communications', 'tool', 'that', 'does', 'not', 'communicate']","['essentially', 'communications', 'tool', 'communicate']"
163,Works like a charm.  it work the same as the one I got with the phone.,Positive,Works like a charm  it work the same as the one I got with the phone,"['works', 'like', 'a', 'charm', 'it', 'work', 'the', 'same', 'as', 'the', 'one', 'i', 'got', 'with', 'the', 'phone']","['works', 'like', 'charm', 'work', 'one', 'got', 'phone']"
164,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",Negative,I still maintain that monkeys shouldnt make headphones we just obviously dont share enough DNA to copy the design over to humans,"['i', 'still', 'maintain', 'that', 'monkeys', 'shouldnt', 'make', 'headphones', 'we', 'just', 'obviously', 'dont', 'share', 'enough', 'dna', 'to', 'copy', 'the', 'design', 'over', 'to', 'humans']","['still', 'maintain', 'monkeys', 'shouldnt', 'make', 'headphones', 'obviously', 'dont', 'share', 'enough', 'dna', 'copy', 'design', 'humans']"
165,Great Value.,Positive,Great Value,"['great', 'value']","['great', 'value']"
166,Doesn't work at all.. I bougth it for my L7c and its not working.,Negative,Doesnt work at all I bougth it for my L7c and its not working,"['doesnt', 'work', 'at', 'all', 'i', 'bougth', 'it', 'for', 'my', 'l7c', 'and', 'its', 'not', 'working']","['doesnt', 'work', 'bougth', 'l7c', 'working']"
